Case Ref No,Advisory Letter,Directions,Formal Warning,PINS,Prosecution
00258-2020,1,,,,
00259-2018,1,,,,
00259-2020,1,,,,
00261-2018,1,,,,
00263-2018,2,,,,
00265-2018,1,,,,
00266-2018,2,,,,
00267-2017,2,,,,
00267-2020,,,,2,
00268-2017,1,,,,
00271-2017,,,1,1,
00274-2017,4,2,,,
00275-2018,,5,,,
00277-2018,,,1,,
00277-2019,1,,,,
00277-2020,,,1,,
00278-2016,,,,1,
00278-2018,1,,,,
00278-2020,,,1,,
00280-2020,,,1,,
00286-2017,1,,,,
00289-2016,,,,1,
00291-2018,,,,,1
00292-2019,,,,1,
00293-2019,,1,,,
00298-2019,1,,,,
00301-2018,,,,2,
00303-2018,,,2,,
00303-2020,2,,,,
00305-2018,2,,,,
00305-2019,,1,,,
00306-2017,,2,,2,
00306-2019,,,1,,
00306-2020,1,,,,
00307-2017,,,1,,
00307-2018,1,,,,
00308-2018,1,,,,
00308-2020,2,,,,
00309-2018,,,1,,
00309-2019,,,1,,
00310-2020,1,,,,
00311-2017,,2,1,,
00314-2017,,,,1,
00316-2019,1,,,,
00317-2019,1,,1,,
00318-2019,,1,,2,
00320-2020,2,,,,
00321-2017,,1,2,,
00321-2018,,,2,,
00321-2019,,,,1,
00322-2020,2,,,,
00324-2017,,,1,,
00325-2017,,,,1,
00326-2020,,,1,,
00327-2017,,1,,,
00327-2018,1,,,,
00329-2019,,,1,,
00330-2016,1,,,,
00330-2020,1,,1,,
00331-2018,1,,,,
00334-2020,1,,,,
00335-2016,2,,,,
00337-2017,1,2,,,
00337-2020,,,1,,
00340-2018,1,,,,
00340-2020,1,,,,
00341-2016,1,,,,
00341-2019,1,,,,
00344-2019,2,,,,
00344-2020,3,,,,
00345-2019,1,,,,
00346-2018,1,,,,
00347-2020,,,1,,
00349-2018,1,,,,
00349-2020,1,,,,
00350-2019,1,1,,1,
00353-2016,1,,,,
00353-2017,,,1,,
00354-2020,1,,,,
00355-2019,2,,,,
00355-2020,1,,,,
